"Time","Cloud","Fog1_Jetson@20W","Fog2_Jetson@20W"
2025-07-17 15:05:15,50186,,
2025-07-17 15:05:30,40266,,
2025-07-17 15:05:45,36957,,
2025-07-17 15:06:00,35303,,
2025-07-17 15:06:15,34311,,
2025-07-17 15:06:30,33649,,
2025-07-17 15:06:45,33176,,
2025-07-17 15:07:00,0,,
2025-07-17 15:07:15,0,,
2025-07-17 15:07:30,0,,
2025-07-17 15:07:45,0,,
2025-07-17 15:08:00,0,,
2025-07-17 15:08:15,4122,,
2025-07-17 15:08:30,4122,,
2025-07-17 15:08:45,4336,0,
2025-07-17 15:09:00,4336,0,
2025-07-17 15:09:15,4336,0,
2025-07-17 15:09:30,4336,0,
2025-07-17 15:09:45,4336,1009,
2025-07-17 15:10:00,224,1003,
2025-07-17 15:10:15,214,1000,
2025-07-17 15:10:30,0,4858,
2025-07-17 15:10:45,0,4858,
2025-07-17 15:11:00,0,5058,
2025-07-17 15:11:15,0,5058,0
2025-07-17 15:11:30,0,4534,0
2025-07-17 15:11:45,0,4058,0
2025-07-17 15:12:00,0,4058,0
2025-07-17 15:12:15,0,224,0
2025-07-17 15:12:30,0,200,0
2025-07-17 15:12:45,0,0,0
2025-07-17 15:13:00,0,0,0
2025-07-17 15:13:15,0,0,0
2025-07-17 15:13:30,4127,0,0
2025-07-17 15:13:45,4127,0,0
2025-07-17 15:14:00,4127,0,0
2025-07-17 15:14:15,4127,0,0
2025-07-17 15:14:30,4127,0,0
2025-07-17 15:14:45,4127,0,0
2025-07-17 15:15:00,4127,0,0
2025-07-17 15:15:15,1120,0,0
2025-07-17 15:15:30,1072,0,0
2025-07-17 15:15:45,1072,0,0
2025-07-17 15:16:00,1072,0,0
2025-07-17 15:16:15,1072,0,0
2025-07-17 15:16:30,1072,3863,3962
2025-07-17 15:16:45,1072,3863,3962
2025-07-17 15:17:00,0,3863,3962
2025-07-17 15:17:15,0,3863,3962
2025-07-17 15:17:30,0,3863,3962
2025-07-17 15:17:45,0,3862,3962
2025-07-17 15:18:00,0,4867,3962
2025-07-17 15:18:15,0,1121,0
2025-07-17 15:18:30,0,1003,0
2025-07-17 15:18:45,0,1003,0
2025-07-17 15:19:00,0,1003,0
2025-07-17 15:19:15,0,4867,0
2025-07-17 15:19:30,0,4867,0
2025-07-17 15:19:45,0,4317,0
2025-07-17 15:20:00,0,3864,0
2025-07-17 15:20:15,0,3864,0
2025-07-17 15:20:30,0,4867,1029
2025-07-17 15:20:45,0,4865,1029
2025-07-17 15:21:00,0,1121,1029
2025-07-17 15:21:15,0,1003,1029
2025-07-17 15:21:30,0,1003,1029
2025-07-17 15:21:45,0,1003,1029
2025-07-17 15:22:00,0,2002,1029
2025-07-17 15:22:15,0,1117,0
2025-07-17 15:22:30,0,999,0
2025-07-17 15:22:45,0,999,0
2025-07-17 15:23:00,0,999,0
2025-07-17 15:23:15,0,1058,0
2025-07-17 15:23:30,0,1075,0
2025-07-17 15:23:45,0,0,0
2025-07-17 15:24:00,0,0,0
2025-07-17 15:24:15,,0,0
2025-07-17 15:24:30,,0,0