"Time","Edge1_Jetson@10W","Edge2_RapsberryPi4B","Fog1_Jetson@20W","Fog2_Jetson@20W"
2025-07-17 15:08:30,,,401739776,
2025-07-17 15:08:45,,,408752128,
2025-07-17 15:09:00,,,412762112,
2025-07-17 15:09:15,,,414167040,
2025-07-17 15:09:30,,,415186944,
2025-07-17 15:09:45,,,416428032,
2025-07-17 15:10:00,,,417185792,
2025-07-17 15:10:15,,,417714176,
2025-07-17 15:10:30,,,419442688,
2025-07-17 15:10:45,,,419512320,
2025-07-17 15:11:00,,,420601856,679264256
2025-07-17 15:11:15,,,420720640,687558656
2025-07-17 15:11:30,,,421257216,696922112
2025-07-17 15:11:45,,,421748736,718405632
2025-07-17 15:12:00,,,421797888,709910528
2025-07-17 15:12:15,,,422047744,713773056
2025-07-17 15:12:30,,,422154240,719884288
2025-07-17 15:12:45,,,422154240,712044544
2025-07-17 15:13:00,,,422330368,712814592
2025-07-17 15:13:15,,,422350848,712527872
2025-07-17 15:13:30,,,423186432,720121856
2025-07-17 15:13:45,,,423186432,720629760
2025-07-17 15:14:00,,,423456768,724381696
2025-07-17 15:14:15,525471744,,423542784,731205632
2025-07-17 15:14:30,560562176,,423120896,731205632
2025-07-17 15:14:45,563486720,,423120896,733466624
2025-07-17 15:15:00,568422400,,423186432,733630464
2025-07-17 15:15:15,556470272,,423239680,733999104
2025-07-17 15:15:30,547966976,,423432192,737054720
2025-07-17 15:15:45,549138432,,423559168,743710720
2025-07-17 15:16:00,552931328,,423636992,739491840
2025-07-17 15:16:15,549474304,,423723008,741724160
2025-07-17 15:16:30,567885824,,424050688,741904384
2025-07-17 15:16:45,568442880,,424128512,742170624
2025-07-17 15:17:00,569040896,,424214528,744345600
2025-07-17 15:17:15,571482112,370511872,424509440,732246016
2025-07-17 15:17:30,575000576,373919744,424697856,727629824
2025-07-17 15:17:45,574431232,374575104,424968192,731136000
2025-07-17 15:18:00,579252224,376803328,425095168,731701248
2025-07-17 15:18:15,580153344,377065472,425132032,736329728
2025-07-17 15:18:30,577540096,377065472,425603072,736813056
2025-07-17 15:18:45,579870720,377327616,425664512,738037760
2025-07-17 15:19:00,582955008,377458688,425943040,738652160
2025-07-17 15:19:15,585539584,382046208,426065920,736489472
2025-07-17 15:19:30,584433664,383619072,430788608,737124352
2025-07-17 15:19:45,585125888,383619072,426344448,737124352
2025-07-17 15:20:00,587145216,383881216,426442752,737271808
2025-07-17 15:20:15,582250496,383881216,426606592,734175232
2025-07-17 15:20:30,586555392,383881216,426684416,732315648
2025-07-17 15:20:45,588525568,385060864,426725376,732168192
2025-07-17 15:21:00,585662464,385323008,426921984,733327360
2025-07-17 15:21:15,585932800,385847296,427032576,734052352
2025-07-17 15:21:30,586428416,386109440,427040768,734990336
2025-07-17 15:21:45,586706944,386371584,427040768,735350784
2025-07-17 15:22:00,583315456,387158016,427380736,748503040
2025-07-17 15:22:15,584372224,388075520,428437504,746397696
2025-07-17 15:22:30,587489280,388206592,428691456,746565632
2025-07-17 15:22:45,588005376,388730880,428691456,746795008
2025-07-17 15:23:00,595193856,393187328,428769280,747089920
2025-07-17 15:23:15,604590080,393318400,,